steamid,personaname,loccountrycode,recent_playtime_hours,profileurl,two_weeks
76561197999776911,Nitro,US,0.0,https://steamcommunity.com/id/NuclearNut/,145.88
76561198361483017,Arwork,,0.0,https://steamcommunity.com/profiles/76561198361483017/,189.02
76561198170153971,Joe,US,0.0,https://steamcommunity.com/id/Sawtooth11/,148.25
76561199123960877,kyri,GB,0.0,https://steamcommunity.com/profiles/76561199123960877/,35.45
76561198130992898,Thorad,US,0.0,https://steamcommunity.com/id/ThoradTM/,1.45
76561198264243698,GayLord,US,0.0,https://steamcommunity.com/profiles/76561198264243698/,67.65
76561198118287918,Luke,UY,0.0,https://steamcommunity.com/profiles/76561198118287918/,97.95
76561199657668417,shemr132455,,0.0,https://steamcommunity.com/profiles/76561199657668417/,14.98
76561198808921652,Vidde,SE,0.0,https://steamcommunity.com/profiles/76561198808921652/,50.37
76561198956867814,Schrödinger,IN,0.0,https://steamcommunity.com/id/husain3012/,8.37
76561197971914428,Super Muffin,US,0.0,https://steamcommunity.com/id/supermuffin/,0.0
76561199559934754,120.HZ 180fps  CSGOSKINS,,0.0,https://steamcommunity.com/profiles/76561199559934754/,36.35
76561199587202469,✚Benito Mussolini✚,,0.0,https://steamcommunity.com/profiles/76561199587202469/,66.5
76561199185010755,Heyboo,DE,0.0,https://steamcommunity.com/profiles/76561199185010755/,6.73
76561198099783460,GEORGE026,GR,0.0,https://steamcommunity.com/profiles/76561198099783460/,45.07
76561199215878763,daveyyhowyadoinඞ,VA,0.0,https://steamcommunity.com/id/davenorton/,48.48
76561198419032457,Brother Horalis,,0.0,https://steamcommunity.com/id/theonethatsalwaysfuckingyourwife/,0.0
76561198445706982,:3-D1no-UwU-:3,,0.0,https://steamcommunity.com/id/AGATONHA/,44.47
76561199587497355,Yuncai^,CA,0.0,https://steamcommunity.com/profiles/76561199587497355/,19.9
76561198142385023,EpicSquid,ZA,0.0,https://steamcommunity.com/id/epicsquid1/,7.18
76561198842701387,Turb0,LT,0.0,https://steamcommunity.com/profiles/76561198842701387/,0.0
76561198118647807,Sebal,US,0.0,https://steamcommunity.com/profiles/76561198118647807/,21.07
76561199173387049,NoahPlayz,,0.0,https://steamcommunity.com/profiles/76561199173387049/,34.93
76561199054248655,Trustflow,ZW,0.0,https://steamcommunity.com/id/stonedclown/,106.42
76561199655976793,tummy ache survivor,,19.0,https://steamcommunity.com/id/bellezttv/,18.12
76561199061623624,Finanzamt,DE,140.18,https://steamcommunity.com/profiles/76561199061623624/,137.07
76561198080196486,MystiQ,PL,0.0,https://steamcommunity.com/profiles/76561198080196486/,236.08
76561198131981413,SingularAndrew,CA,0.0,https://steamcommunity.com/id/singularandrew/,41.98
76561198854951939,-emo-,US,0.0,https://steamcommunity.com/profiles/76561198854951939/,35.42
76561198260794988,zaza negro,CZ,0.0,https://steamcommunity.com/id/bigballski/,21.75
76561199068393943,Geforce83,,0.0,https://steamcommunity.com/profiles/76561199068393943/,135.68
76561198966162077,yeet,,0.0,https://steamcommunity.com/profiles/76561198966162077/,106.93
76561199076852181,vernonjstuckey,,0.0,https://steamcommunity.com/profiles/76561199076852181/,25.32
76561198057319927,Ket,,0.0,https://steamcommunity.com/id/cephalonket/,95.77
76561199083952245,Alex196_Gamer,,0.0,https://steamcommunity.com/profiles/76561199083952245/,36.77
76561199506542876,Synergy,US,0.0,https://steamcommunity.com/profiles/76561199506542876/,0.0
76561197970967000,Up The Irons!,,0.0,https://steamcommunity.com/profiles/76561197970967000/,0.0
76561198182644505,mrRRo,,0.0,https://steamcommunity.com/id/Nymka2757/,68.48
76561198211717888,Jibbs,US,0.0,https://steamcommunity.com/profiles/76561198211717888/,35.35
76561198409273453,korikopat,PH,0.0,https://steamcommunity.com/profiles/76561198409273453/,0.0
76561198390006431,FredjeDTFT,BE,0.0,https://steamcommunity.com/profiles/76561198390006431/,29.18
76561199221151981,bq. harvey specter,AU,0.0,https://steamcommunity.com/profiles/76561199221151981/,101.25
76561199499588108,skG,US,0.0,https://steamcommunity.com/profiles/76561199499588108/,0.0
76561199101022359,Pontifex Maximus,EE,0.0,https://steamcommunity.com/id/Carlonix/,25.58
76561198809494572,CallMeMoth,IT,0.0,https://steamcommunity.com/profiles/76561198809494572/,67.93
76561199021893417,Pluto,SE,16.32,https://steamcommunity.com/profiles/76561199021893417/,19.45
76561198093002146,ホットドッグ 🌭,,0.0,https://steamcommunity.com/id/NoobtoFreak/,18.5
76561199088159952,XKORYU,,0.0,https://steamcommunity.com/profiles/76561199088159952/,42.0
76561198852513401,evilswampy,,0.0,https://steamcommunity.com/profiles/76561198852513401/,17.7
76561198413048568,TTVKICKYT SUPERDADGAMER17,LT,0.0,https://steamcommunity.com/id/RiceProfile/,32.18
